LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2008,2.559,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2009,2.637,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2010,2.511,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2011,2.518,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2012,2.724,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2013,2.847,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2014,2.712,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2015,2.733,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2016,2.896,
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2017,2.908,P
Czech Republic,TOUR_GDP,TOT,PC_GDP,A,2018,2.821,P
France,TOUR_GDP,TOT,PC_GDP,A,2010,7.271,
France,TOUR_GDP,TOT,PC_GDP,A,2011,7.53,
France,TOUR_GDP,TOT,PC_GDP,A,2012,7.553,
France,TOUR_GDP,TOT,PC_GDP,A,2013,7.518,
France,TOUR_GDP,TOT,PC_GDP,A,2014,7.478,
France,TOUR_GDP,TOT,PC_GDP,A,2015,7.322,
France,TOUR_GDP,TOT,PC_GDP,A,2016,7.095,
France,TOUR_GDP,TOT,PC_GDP,A,2017,7.223,
France,TOUR_GDP,TOT,PC_GDP,A,2018,7.341,P
Island,TOUR_GDP,TOT,PC_GDP,A,2009,3.487,
Island,TOUR_GDP,TOT,PC_GDP,A,2010,3.335,
Island,TOUR_GDP,TOT,PC_GDP,A,2011,3.559,
Island,TOUR_GDP,TOT,PC_GDP,A,2012,4.061,
Island,TOUR_GDP,TOT,PC_GDP,A,2013,4.542,
Island,TOUR_GDP,TOT,PC_GDP,A,2014,5.073,
Island,TOUR_GDP,TOT,PC_GDP,A,2015,6.012,
Island,TOUR_GDP,TOT,PC_GDP,A,2016,7.951,
Island,TOUR_GDP,TOT,PC_GDP,A,2017,8.555,P
Japan,TOUR_GDP,TOT,PC_GDP,A,2008,1.899,
Japan,TOUR_GDP,TOT,PC_GDP,A,2009,1.852,
Japan,TOUR_GDP,TOT,PC_GDP,A,2010,1.723,
Japan,TOUR_GDP,TOT,PC_GDP,A,2011,1.699,
Japan,TOUR_GDP,TOT,PC_GDP,A,2012,1.744,
Japan,TOUR_GDP,TOT,PC_GDP,A,2013,1.796,B
Japan,TOUR_GDP,TOT,PC_GDP,A,2014,1.68,
Japan,TOUR_GDP,TOT,PC_GDP,A,2015,1.844,
Japan,TOUR_GDP,TOT,PC_GDP,A,2016,1.972,
Japan,TOUR_GDP,TOT,PC_GDP,A,2017,1.958,
Japan,TOUR_GDP,TOT,PC_GDP,A,2018,1.958,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2009,6.921,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2010,7.127,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2011,6.917,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2012,6.911,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2013,6.588,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2014,6.69,P
Morocco,TOUR_GDP,TOT,PC_GDP,A,2015,6.444,P
Morocco,TOUR_GDP,TOT,PC_GDP,A,2016,6.598,E
Morocco,TOUR_GDP,TOT,PC_GDP,A,2017,6.811,
Morocco,TOUR_GDP,TOT,PC_GDP,A,2018,6.934,
